symbol,type,role,entry_time,entry_price,sl,volume,mfe,mae,is_risk_bearing,point,status,is_adapted,phenomenon,exit_price,exit_time,profit
XAGUSD,BUY,Runner,2026-02-23 14:30:00,86.496,86.496,0.01,1078000.000000003,0.0,False,0.001,CLOSED_SL,False,MED_VOL_TRENDING_NEUTRAL,86.496,2026-02-23 15:30:00,0.0
XAGUSD,BUY,Scalper,2026-02-23 14:30:00,86.496,86.44073305155341,0.01,2543000.0000000065,-512000.00000000047,True,0.001,CLOSED_SL,False,MED_VOL_TRENDING_NEUTRAL,86.44073305155341,2026-02-24 01:00:00,-55266.94844658664
XAGUSD,BUY,Runner,2026-02-25 12:00:00,90.491,90.491,0.01,790000.0000000063,-1088999.9999999986,False,0.001,CLOSED_SL,False,MED_VOL_TRENDING_NEUTRAL,90.491,2026-02-25 20:00:00,0.0
XAGUSD,BUY,Scalper,2026-02-25 12:00:00,90.491,89.7865619398343,0.01,790000.0000000063,-1088999.9999999986,True,0.001,CLOSED_SL,False,MED_VOL_TRENDING_NEUTRAL,89.7865619398343,2026-02-25 20:30:00,-704438.0601656997
USDJPY DFX 10 Index,BUY,Scalper,2026-02-27 06:00:00,173622.08,173753.71466918717,0.01,0.0,0.0,False,0.01,CLOSED_SL,False,MED_VOL_TRENDING_NEUTRAL,173753.71466918717,2026-02-27 06:30:00,13163466.918718768
USDJPY DFX 10 Index,BUY,Runner,2026-02-27 06:00:00,173622.08,173753.71466918717,0.01,0.0,0.0,False,0.01,CLOSED_SL,False,MED_VOL_TRENDING_NEUTRAL,173753.71466918717,2026-02-27 06:30:00,13163466.918718768
AUDUSD DFX 10 Index,SELL,Scalper,2026-03-09 08:30:00,88536.42,88540.1495524994,0.01,0.0,0.0,True,0.01,CLOSED_SL,False,MED_VOL_TRENDING_NEUTRAL,88540.1495524994,2026-03-09 09:00:00,-372955.24993969593
AUDUSD DFX 10 Index,SELL,Runner,2026-03-09 08:30:00,88536.42,88543.46735,0.01,0.0,0.0,True,0.01,CLOSED_SL,False,MED_VOL_TRENDING_NEUTRAL,88543.46735,2026-03-09 09:00:00,-704735.0000008009
XAGUSD,BUY,Scalper,2026-03-10 13:30:00,89.389,87.92610417449814,0.01,322000.00000000274,-1048999.9999999923,True,0.001,CLOSED_SL,False,LOW_VOL_TRENDING_NEUTRAL,87.92610417449814,2026-03-10 18:00:00,-1462895.8255018604
XAGUSD,BUY,Runner,2026-03-10 13:30:00,89.389,85.446716,0.01,322000.00000000274,-3399000.000000001,True,0.001,CLOSED_SL,False,LOW_VOL_TRENDING_NEUTRAL,85.446716,2026-03-11 12:30:00,-3942284.000000001
AUDUSD DFX 10 Index,BUY,Scalper,2026-03-12 11:30:00,89314.04,89523.03801928052,0.01,0.0,0.0,False,0.01,CLOSED_SL,False,MED_VOL_TRENDING_NEUTRAL,89523.03801928052,2026-03-12 12:00:00,20899801.92805233
AUDUSD DFX 10 Index,BUY,Runner,2026-03-12 11:30:00,89314.04,89523.03801928052,0.01,0.0,0.0,False,0.01,CLOSED_SL,False,MED_VOL_TRENDING_NEUTRAL,89523.03801928052,2026-03-12 12:00:00,20899801.92805233
XAGUSD,SELL,Scalper,2026-03-13 14:00:00,83.564,80.5028918934085,0.01,6491999.999999991,0.0,False,0.001,CLOSED_SL,False,MED_VOL_TRENDING_NEUTRAL,80.5028918934085,2026-03-16 13:00:00,3061108.10659149
XAGUSD,SELL,Runner,2026-03-13 14:00:00,83.564,80.5028918934085,0.01,6491999.999999991,0.0,False,0.001,CLOSED_SL,False,MED_VOL_TRENDING_NEUTRAL,80.5028918934085,2026-03-16 13:00:00,3061108.10659149
XAGUSD,BUY,Scalper,2026-03-25 08:30:00,73.288,71.9244852907977,0.01,91999.99999999875,-1346999.9999999942,True,0.001,CLOSED_SL,False,LOW_VOL_TRENDING_NEUTRAL,71.9244852907977,2026-03-25 14:00:00,-1363514.709202292
XAGUSD,BUY,Runner,2026-03-25 08:30:00,73.288,70.835712,0.01,91999.99999999875,-2415999.9999999967,True,0.001,CLOSED_SL,False,LOW_VOL_TRENDING_NEUTRAL,70.835712,2026-03-25 23:00:00,-2452287.999999996
XAGUSD,BUY,Scalper,2026-03-26 13:30:00,68.593,70.12823910331898,0.01,0.0,0.0,False,0.001,CLOSED_SL,False,MED_VOL_TRENDING_NEUTRAL,70.12823910331898,2026-03-26 14:00:00,1535239.1033189718
XAGUSD,BUY,Runner,2026-03-26 13:30:00,68.593,70.12823910331898,0.01,0.0,0.0,False,0.001,CLOSED_SL,False,MED_VOL_TRENDING_NEUTRAL,70.12823910331898,2026-03-26 14:00:00,1535239.1033189718
XAGUSD,BUY,Scalper,2026-04-02 14:00:00,71.413,72.47119225222842,0.01,0.0,0.0,False,0.001,CLOSED_SL,False,MED_VOL_TRENDING_NEUTRAL,72.47119225222842,2026-04-02 14:30:00,1058192.252228423
XAGUSD,BUY,Runner,2026-04-02 14:00:00,71.413,72.47119225222842,0.01,0.0,0.0,False,0.001,CLOSED_SL,False,MED_VOL_TRENDING_NEUTRAL,72.47119225222842,2026-04-02 14:30:00,1058192.252228423
Volatility 75 Index,BUY,Scalper,2026-04-05 08:00:00,33891.38,33862.10601734627,0.01,0.0,0.0,True,0.01,CLOSED_SL,True,MED_VOL_RANGING_NEUTRAL,33862.10601734627,2026-04-05 08:30:00,-2927398.2653729036
Volatility 75 Index,BUY,Runner,2026-04-05 08:00:00,33891.38,33845.245225,0.01,0.0,0.0,True,0.01,CLOSED_SL,True,MED_VOL_RANGING_NEUTRAL,33845.245225,2026-04-05 08:30:00,-4613477.499999862
Jump 75 Index,BUY,Scalper,2026-04-06 01:30:00,14565.93,14713.67981527184,0.01,0.0,0.0,False,0.01,CLOSED_SL,False,MED_VOL_TRENDING_NEUTRAL,14713.67981527184,2026-04-06 02:00:00,14774981.52718399
Jump 75 Index,BUY,Runner,2026-04-06 01:30:00,14565.93,14713.67981527184,0.01,0.0,0.0,False,0.01,CLOSED_SL,False,MED_VOL_TRENDING_NEUTRAL,14713.67981527184,2026-04-06 02:00:00,14774981.52718399
Jump 75 Index,BUY,Scalper,2026-04-06 05:00:00,14545.83,14659.626330596264,0.01,0.0,0.0,False,0.01,CLOSED_SL,True,MED_VOL_RANGING_NEUTRAL,14659.626330596264,2026-04-06 05:30:00,11379633.059626395
Jump 75 Index,BUY,Runner,2026-04-06 05:00:00,14545.83,14659.626330596264,0.01,0.0,0.0,False,0.01,CLOSED_SL,True,MED_VOL_RANGING_NEUTRAL,14659.626330596264,2026-04-06 05:30:00,11379633.059626395
USDJPY DFX 20 Index,SELL,Scalper,2026-04-06 05:30:00,195895.02,195795.84527987125,0.01,0.0,0.0,False,0.01,CLOSED_SL,True,MED_VOL_RANGING_NEUTRAL,195795.84527987125,2026-04-06 06:00:00,9917472.012873624
USDJPY DFX 20 Index,SELL,Runner,2026-04-06 05:30:00,195895.02,195795.84527987125,0.01,0.0,0.0,False,0.01,CLOSED_SL,True,MED_VOL_RANGING_NEUTRAL,195795.84527987125,2026-04-06 06:00:00,9917472.012873624
XAGUSD,SELL,Scalper,2026-04-06 13:30:00,72.763,72.59525266049125,0.01,0.0,0.0,False,0.001,CLOSED_SL,True,MED_VOL_RANGING_NEUTRAL,72.59525266049125,2026-04-06 14:00:00,167747.3395087503
XAGUSD,SELL,Runner,2026-04-06 13:30:00,72.763,72.59525266049125,0.01,0.0,0.0,False,0.001,CLOSED_SL,True,MED_VOL_RANGING_NEUTRAL,72.59525266049125,2026-04-06 14:00:00,167747.3395087503
Jump 10 Index,SELL,Scalper,2026-04-06 20:00:00,100736.03,100708.16950794683,0.01,0.0,0.0,False,0.01,CLOSED_SL,True,MED_VOL_RANGING_NEUTRAL,100708.16950794683,2026-04-06 20:30:00,2786049.2053165217
Jump 10 Index,SELL,Runner,2026-04-06 20:00:00,100736.03,100708.16950794683,0.01,0.0,0.0,False,0.01,CLOSED_SL,True,MED_VOL_RANGING_NEUTRAL,100708.16950794683,2026-04-06 20:30:00,2786049.2053165217
XAGUSD,SELL,Runner,2026-04-07 10:30:00,72.433,72.433,0.01,716000.0000000081,0.0,False,0.001,CLOSED_SL,False,MED_VOL_TRENDING_NEUTRAL,72.433,2026-04-07 12:00:00,0.0
Jump 10 Index,SELL,Scalper,2026-04-07 16:00:00,100747.64,100673.62789040615,0.01,0.0,0.0,False,0.01,CLOSED_SL,True,MED_VOL_RANGING_NEUTRAL,100673.62789040615,2026-04-07 16:30:00,7401210.959385207
Jump 10 Index,SELL,Runner,2026-04-07 16:00:00,100747.64,100673.62789040615,0.01,0.0,0.0,False,0.01,CLOSED_SL,True,MED_VOL_RANGING_NEUTRAL,100673.62789040615,2026-04-07 16:30:00,7401210.959385207
XAGUSD,SELL,Scalper,2026-04-07 10:30:00,72.433,72.18392127651512,0.01,2629000.0000000047,-19999.99999999602,False,0.001,CLOSED_SL,False,MED_VOL_TRENDING_NEUTRAL,72.18392127651512,2026-04-07 17:30:00,249078.72348488524
Volatility 75 Index,SELL,Scalper,2026-04-08 01:30:00,33509.79,33408.19343993917,0.01,0.0,0.0,False,0.01,CLOSED_SL,True,MED_VOL_RANGING_NEUTRAL,33408.19343993917,2026-04-08 02:00:00,10159656.006083243
Volatility 75 Index,SELL,Runner,2026-04-08 01:30:00,33509.79,33408.19343993917,0.01,0.0,0.0,False,0.01,CLOSED_SL,True,MED_VOL_RANGING_NEUTRAL,33408.19343993917,2026-04-08 02:00:00,10159656.006083243
XAGUSD,BUY,Runner,2026-04-08 09:00:00,76.909,76.909,0.01,497999.99999999045,-310000.00000000227,False,0.001,CLOSED_SL,False,LOW_VOL_TRENDING_NEUTRAL,76.909,2026-04-08 12:00:00,0.0
XAGUSD,BUY,Scalper,2026-04-08 09:00:00,76.909,75.5451139490985,0.01,678999.9999999879,-1189000.000000007,True,0.001,CLOSED_SL,False,LOW_VOL_TRENDING_NEUTRAL,75.5451139490985,2026-04-08 14:30:00,-1363886.0509014989
Jump 75 Index,SELL,Scalper,2026-04-09 00:30:00,13952.02,13706.073129085657,0.01,0.0,0.0,False,0.01,CLOSED_SL,False,MED_VOL_TRENDING_NEUTRAL,13706.073129085657,2026-04-09 01:00:00,24594687.09143439
Jump 75 Index,SELL,Runner,2026-04-09 00:30:00,13952.02,13706.073129085657,0.01,0.0,0.0,False,0.01,CLOSED_SL,False,MED_VOL_TRENDING_NEUTRAL,13706.073129085657,2026-04-09 01:00:00,24594687.09143439
XAGUSD,BUY,Scalper,2026-04-09 08:00:00,74.098,74.45328582086168,0.01,0.0,0.0,False,0.001,CLOSED_SL,False,LOW_VOL_TRENDING_NEUTRAL,74.45328582086168,2026-04-09 08:30:00,355285.82086168113
XAGUSD,BUY,Runner,2026-04-09 08:00:00,74.098,74.45328582086168,0.01,0.0,0.0,False,0.001,CLOSED_SL,False,LOW_VOL_TRENDING_NEUTRAL,74.45328582086168,2026-04-09 08:30:00,355285.82086168113
XAGUSD,BUY,Scalper,2026-04-09 09:00:00,74.078,74.4243518861549,0.01,0.0,0.0,False,0.001,CLOSED_SL,False,LOW_VOL_TRENDING_NEUTRAL,74.4243518861549,2026-04-09 09:30:00,346351.886154892
XAGUSD,BUY,Runner,2026-04-09 09:00:00,74.078,74.4243518861549,0.01,0.0,0.0,False,0.001,CLOSED_SL,False,LOW_VOL_TRENDING_NEUTRAL,74.4243518861549,2026-04-09 09:30:00,346351.886154892
Jump 75 Index,SELL,Scalper,2026-04-09 09:00:00,13756.38,13723.938640910274,0.01,0.0,0.0,False,0.01,CLOSED_SL,True,MED_VOL_RANGING_NEUTRAL,13723.938640910274,2026-04-09 09:30:00,3244135.9089725665
Jump 75 Index,SELL,Runner,2026-04-09 09:00:00,13756.38,13723.938640910274,0.01,0.0,0.0,False,0.01,CLOSED_SL,True,MED_VOL_RANGING_NEUTRAL,13723.938640910274,2026-04-09 09:30:00,3244135.9089725665
Jump 75 Index,SELL,Scalper,2026-04-09 10:00:00,13749.12,13724.267457449278,0.01,0.0,0.0,False,0.01,CLOSED_SL,True,MED_VOL_RANGING_NEUTRAL,13724.267457449278,2026-04-09 10:30:00,2485254.2550723227
Jump 75 Index,SELL,Runner,2026-04-09 10:00:00,13749.12,13724.267457449278,0.01,0.0,0.0,False,0.01,CLOSED_SL,True,MED_VOL_RANGING_NEUTRAL,13724.267457449278,2026-04-09 10:30:00,2485254.2550723227
Volatility 75 Index,SELL,Scalper,2026-04-10 03:30:00,32582.5,31980.666491835836,0.01,0.0,0.0,False,0.01,CLOSED_SL,False,MED_VOL_TRENDING_NEUTRAL,31980.666491835836,2026-04-10 04:00:00,60183350.81641635
Volatility 75 Index,SELL,Runner,2026-04-10 03:30:00,32582.5,31980.666491835836,0.01,0.0,0.0,False,0.01,CLOSED_SL,False,MED_VOL_TRENDING_NEUTRAL,31980.666491835836,2026-04-10 04:00:00,60183350.81641635
Volatility 75 Index,SELL,Scalper,2026-04-10 05:30:00,32584.05,32084.185341470526,0.01,0.0,0.0,False,0.01,CLOSED_SL,False,MED_VOL_TRENDING_NEUTRAL,32084.185341470526,2026-04-10 06:00:00,49986465.85294737
Volatility 75 Index,SELL,Runner,2026-04-10 05:30:00,32584.05,32084.185341470526,0.01,0.0,0.0,False,0.01,CLOSED_SL,False,MED_VOL_TRENDING_NEUTRAL,32084.185341470526,2026-04-10 06:00:00,49986465.85294737
Jump 50 Index,BUY,Scalper,2026-04-11 07:00:00,33674.96,33772.22227263883,0.01,0.0,0.0,False,0.01,CLOSED_SL,True,MED_VOL_RANGING_NEUTRAL,33772.22227263883,2026-04-11 07:30:00,9726227.263882902
Jump 50 Index,BUY,Runner,2026-04-11 07:00:00,33674.96,33772.22227263883,0.01,0.0,0.0,False,0.01,CLOSED_SL,True,MED_VOL_RANGING_NEUTRAL,33772.22227263883,2026-04-11 07:30:00,9726227.263882902
DEX 1500 DOWN Index,SELL,Scalper,2026-04-11 10:30:00,34063.54,33835.21244428994,0.01,83059000.00000037,0.0,False,0.01,CLOSED_SL,True,MED_VOL_RANGING_NEUTRAL,33835.21244428994,2026-04-11 20:30:00,22832755.571006417
DEX 1500 DOWN Index,SELL,Runner,2026-04-11 10:30:00,34063.54,33835.21244428994,0.01,83059000.00000037,0.0,False,0.01,CLOSED_SL,True,MED_VOL_RANGING_NEUTRAL,33835.21244428994,2026-04-11 20:30:00,22832755.571006417
DEX 1500 DOWN Index,SELL,Scalper,2026-04-12 11:30:00,34136.6,34031.80662437439,0.01,32811999.999999534,0.0,False,0.01,CLOSED_SL,False,MED_VOL_TRENDING_NEUTRAL,34031.80662437439,2026-04-12 13:30:00,10479337.562560977
DEX 1500 DOWN Index,SELL,Runner,2026-04-12 11:30:00,34136.6,34031.80662437439,0.01,32811999.999999534,0.0,False,0.01,CLOSED_SL,False,MED_VOL_TRENDING_NEUTRAL,34031.80662437439,2026-04-12 13:30:00,10479337.562560977
DEX 1500 DOWN Index,SELL,Scalper,2026-04-12 17:30:00,34066.5,34081.61482847258,0.01,0.0,0.0,True,0.01,CLOSED_SL,True,MED_VOL_RANGING_NEUTRAL,34081.61482847258,2026-04-12 18:00:00,-1511482.8472578665
DEX 1500 DOWN Index,SELL,Runner,2026-04-12 17:30:00,34066.5,34087.869835,0.01,0.0,0.0,True,0.01,CLOSED_SL,True,MED_VOL_RANGING_NEUTRAL,34087.869835,2026-04-12 18:00:00,-2136983.499999769
Jump 10 Index,SELL,Scalper,2026-04-13 12:00:00,99098.84,99005.90875060816,0.01,0.0,0.0,False,0.01,CLOSED_SL,False,MED_VOL_TRENDING_NEUTRAL,99005.90875060816,2026-04-13 12:30:00,9293124.939184055
Jump 10 Index,SELL,Runner,2026-04-13 12:00:00,99098.84,99005.90875060816,0.01,0.0,0.0,False,0.01,CLOSED_SL,False,MED_VOL_TRENDING_NEUTRAL,99005.90875060816,2026-04-13 12:30:00,9293124.939184055
XAGUSD,SELL,Scalper,2026-04-13 14:30:00,74.041,74.57802935381007,0.01,323999.9999999981,-174999.99999999715,True,0.001,CLOSED_SL,True,MED_VOL_RANGING_NEUTRAL,74.57802935381007,2026-04-13 16:00:00,-537029.3538100696
XAGUSD,SELL,Runner,2026-04-13 14:30:00,74.041,74.701159,0.01,323999.9999999981,-174999.99999999715,True,0.001,CLOSED_SL,True,MED_VOL_RANGING_NEUTRAL,74.701159,2026-04-13 16:00:00,-660159.0000000072
Jump 10 Index,BUY,Scalper,2026-04-13 23:00:00,99134.51,99293.50251948767,0.01,61119000.00000023,0.0,False,0.01,CLOSED_SL,True,MED_VOL_RANGING_NEUTRAL,99293.50251948767,2026-04-14 08:00:00,15899251.948767051
Jump 10 Index,BUY,Runner,2026-04-13 23:00:00,99134.51,99293.50251948767,0.01,61119000.00000023,0.0,False,0.01,CLOSED_SL,True,MED_VOL_RANGING_NEUTRAL,99293.50251948767,2026-04-14 08:00:00,15899251.948767051
